"","Master","lowtag","utme","utmn","eartag1","eartag2","area","county","captyr","captmo","captday","traptype","landtype","locname","UTM.Zone","age","sex","freq","typeofmark","RwdExp","VIT","X2freq","CollarID","NeckCirc","captcomments","mtherlt","fwn1lt","fwn1frq","fwn2lt","fwn2frq","fwn3lt","fwn3frq","fwn4lt","fwn4frq","lowhigh","individual.local.identifier","event.id","visible","timestamp","location.long","location.lat","comments","gps.dop","gps.fix.type.raw","height.raw","sensor.type","individual.taxon.canonical.name","tag.local.identifier","study.name","NewDate","Year","WTYear","timelag","x","y","SeasonYear","SeasonYearBurst"
"176438","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158443,"true","2019-04-12 21:00:12.000",-78.4128885,40.1098511,"DMAP South:166.28",1.2,"val. GPS-3D",711.22,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-12 21:00:12,"2019","20155_20401M_2019",12575,1477816.73218242,2036395.18790065,"Spring19","20155_20401M_Spring19"
"176439","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158444,"true","2019-04-13 00:30:11.000",-78.4058161,40.1270488,"DMAP South:166.28",1,"val. GPS-3D",415.72,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-13 00:30:11,"2019","20155_20401M_2019",12599,1478051.22847094,2038398.60803895,"Spring19","20155_20401M_Spring19"
"176440","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158445,"true","2019-04-13 04:00:20.000",-78.406811,40.124769,"DMAP South:166.28",2.2,"val. GPS-3D",430.58,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-13 04:00:20,"2019","20155_20401M_2019",12609,1478015.39547433,2038132.13985923,"Spring19","20155_20401M_Spring19"
"176441","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158446,"true","2019-04-13 07:30:20.000",-78.4055927,40.1275879,"DMAP South:166.28",1.4,"val. GPS-3D",409.87,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-13 07:30:20,"2019","20155_20401M_2019",12600,1478058.71585546,2038461.43554764,"Spring19","20155_20401M_Spring19"
"176442","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158447,"true","2019-04-13 11:00:10.000",-78.4118439,40.1181125,"DMAP South:166.28",1.4,"val. GPS-3D",525.6,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-13 11:00:10,"2019","20155_20401M_2019",12590,1477733.97526549,2037321.1692974,"Spring19","20155_20401M_Spring19"
"176443","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158448,"true","2019-04-13 14:30:29.000",-78.4075147,40.1138964,"DMAP South:166.28",1.4,"val. GPS-3D",550.49,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-13 14:30:29,"2019","20155_20401M_2019",12619,1478180.12533192,2036923.88257335,"Spring19","20155_20401M_Spring19"
"176444","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158449,"true","2019-04-13 18:00:16.000",-78.4075748,40.1146934,"DMAP South:166.28",1.2,"val. GPS-3D",631.68,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-13 18:00:16,"2019","20155_20401M_2019",12587,1478158.77312714,2037010.723223,"Spring19","20155_20401M_Spring19"
"176445","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158450,"true","2019-04-13 21:30:21.000",-78.4089176,40.1151123,"DMAP South:166.28",1,"val. GPS-3D",554.74,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-13 21:30:21,"2019","20155_20401M_2019",12605,1478038.62968119,2037036.06534805,"Spring19","20155_20401M_Spring19"
"176446","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158451,"true","2019-04-14 01:00:19.000",-78.4066389,40.1231473,"DMAP South:166.28",1,"val. GPS-3D",445.62,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-14 01:00:19,"2019","20155_20401M_2019",12598,1478062.97919099,2037956.21269795,"Spring19","20155_20401M_Spring19"
"176447","Y",20155,720754,444311,20155,20401,"2874South",NA,2019,3,7,"Drop","Private","Swinehart","17N","J","M",6.28,"GPS Collar",NA,"N",NA,31246,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20155_20401","20155_20401M",14344158452,"true","2019-04-14 04:30:20.000",-78.4059,40.1220491,"DMAP South:166.28",1.4,"val. GPS-3D",487.91,"gps",NA,31246,"DMA White-tailed Deer 2019 Pennsylvania USA",2019-04-14 04:30:20,"2019","20155_20401M_2019",12601,1478146.89599261,2037846.71232628,"Spring19","20155_20401M_Spring19"
